지역별(1),2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10
지역별(1),체감,체감,체감,체감,체감,체감,체감,체감,체감,체감
서울,70.2,40.8,29.4,71.3,88.4,80.1,69.3,65.9,52.2,79.2
부산,62.3,42.7,34.5,73.4,87.7,81.9,69.3,67.3,56.1,77.9
대구,65.1,40.3,30.2,78.5,93.6,83.2,72.5,72.1,57.0,71.3
인천,67.1,45.0,38.9,67.9,83.9,81.4,63.2,65.4,63.6,79.6
광주,74.6,44.6,36.2,78.1,88.4,82.1,56.7,67.4,57.1,81.3
대전,67.4,39.4,33.0,78.4,86.7,88.5,61.9,70.2,48.2,79.7
울산,59.6,42.9,17.7,68.2,81.8,85.4,69.2,75.3,50.0,82.0
세종,80.0,55.7,22.9,72.9,88.6,87.1,62.9,67.1,55.7,82.5
경기,64.3,44.4,27.6,72.1,87.7,78.7,65.1,67.4,53.2,80.4
강원,58.8,29.0,25.2,72.7,85.3,84.9,70.2,67.6,49.2,73.3
충북,67.5,42.1,28.5,79.4,89.9,87.7,71.1,63.2,56.1,78.7
충남,67.8,38.4,33.3,74.0,90.3,86.8,69.4,69.8,53.5,74.4
전북,73.4,38.9,28.3,78.7,79.9,91.8,68.0,63.1,58.6,73.2
전남,70.3,44.7,32.1,73.6,96.7,78.9,70.3,67.5,56.5,80.1
경북,64.0,38.3,27.9,74.4,90.6,78.6,72.4,67.5,59.4,76.5
경남,71.6,45.9,21.6,77.2,91.1,79.6,69.2,68.0,50.6,73.8
제주,72.7,35.7,37.7,62.3,87.0,83.8,76.0,65.6,63.0,87.7
